uri,publication_date,buyer,cpv,amount,currency,contractors
http://ted.europa.eu/udl?uri=TED:NOTICE:103650-2020:TEXT:DE:HTML,20200303,"Bw Bekleidungsmanagement GmbH, Edmund-Rumpler-Straße 8-10, Köln, 51149, bieteranfragen@bwbm.de, http://www.bwbm.de, https://vergabe.bwbm.de, Inhousegesellschaft des Bundes",18143000,0.01,EUR,"Texport Handelsgesellschaft m. b. H., Franz Sauer Straße 30, Salzburg, 5020, +43 662423244, Ausschreibung@texport.at, +43 662423243"
http://ted.europa.eu/udl?uri=TED:NOTICE:103704-2020:TEXT:CS:HTML,20200303,"Středomoravská nemocniční, a.s., 27797660, Mathonova 291/1, Prostějov, 796 04, Ing. Tibor Ďurík, tibor.durik@agel.cz, https://stredomoravskanemocnicni.agel.cz/index.html, https://www.tenderarena.cz/profily/SMN_zadavatel, § 4 odst. 2 zákona č. 134/2016 Sb. (dotovaný zadavatel)",33191000,617691.00,CZK,"Petr Bílek, 60408600, Petrovická 857, Nové Město na Moravě, 592 31"
http://ted.europa.eu/udl?uri=TED:NOTICE:103736-2020:TEXT:ES:HTML,20200303,"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M. P., Q2818002D, C/ Serrano, 117, Madrid, 28006, Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M. P., +34 915681781, soia@csic.es, +34 915681813, http://www.csic.es, https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=XLXk9EyEnmY%3D",33191100,196217.5,EUR,"Biosis Biologic Systems, S. L., B61122909, C/ Pensamiento, 27, Madrid, 28020, VWR International Eurolab, S. L., B08362089, C/ de la Tecnología, 5-17, Llinars del Vallès, 08450, Antonio Matachana, S. A., A08238578, C/ Almogavares, 174, Barcelona, 08018"
http://ted.europa.eu/udl?uri=TED:NOTICE:103744-2020:TEXT:CS:HTML,20200303,"Středomoravská nemocniční, a.s., 27797660, Mathonova 291/1, Prostějov, Ing. Tibor Ďurík, tibor.durik@agel.cz, https://stredomoravskanemocnicni.agel.cz/index.html, https://www.tenderarena.cz/profily/SMN_zadavatel, § 4 odst. 2 zákona č. 134/2016 Sb. (dotovaný zadavatel)",33191000,284795.00,CZK,"Petr Bílek – 3B instruments, 60408600, Petrovická 857, Nové Město na Moravě, 592 31"
http://ted.europa.eu/udl?uri=TED:NOTICE:103768-2020:TEXT:DE:HTML,20200303,"Landkreis Vorpommern-Greifswald, SG Zentrale Vergabestelle, Feldstr. 85 a, Greifswald, 17489, +49 3834/8760-1207, Vera.Rilinger@kreis-vg.de, +49 3834 / 8760-91207, www.kreis-vg.de",33157400,1.00,EUR,"1A Medizintechnik,, Liebauweg 6, Bocholt, 46395"
http://ted.europa.eu/udl?uri=TED:NOTICE:103850-2020:TEXT:FR:HTML,20200303,"Ville d'Allonnes, 21720003900014, esplanade Nelson Mandela, Allonnes, 72700, marches.publics@ville-allonnes.fr, http://allonnes.fr/, http://www.marches-publics.info/",39800000,24500,EUR,"Groupe Pierre Le Goff Grand Ouest, rue Nungesser et Coli — Saint-Aignan-de-Grandlieu, Pont-Saint-Martin, 44860, Groupe Pierre Le Goff Grand Ouest, rue Nungesser et Coli — Saint-Aignan-de-Grandlieu, Pont-Saint-Martin, 44860, Groupe Pierre Le Goff Grand Ouest, rue Nungesser et Coli — Saint-Aignan-de-Grandlieu, Pont-Saint-Martin, 44860, A. Pro Hygiène, 43 B rue des Chenes, Saint-Berthevin, 53940"
http://ted.europa.eu/udl?uri=TED:NOTICE:103953-2020:TEXT:FI:HTML,20200303,"Metropolia Ammattikorkeakoulu Oy, 2094551-1, Myllypurontie 1, Helsinki, FI-00920, hankinta@metropolia.fi, http://www.metropolia.fi/, Korkeakoulu",33191000,458521.00,EUR,"Miele Oy, 0111652-3, Porttikaari 6, Vantaa, FI-01200"
http://ted.europa.eu/udl?uri=TED:NOTICE:104061-2020:TEXT:FR:HTML,20200303,"Institut national de la santé et de la recherche médicale, Inserm — délégation régionale Occitanie Pyrénées — CHU Purpan, BP 3048, Toulouse Cedex 3, 31024, Inserm DR Occitanie Pyrénées — bureau des achats-marchés, +33 562748389, achats.dr-toulouse@inserm.fr, https://www.inserm.fr/, http://www.occitanie-pyrenees.inserm.fr/, Recherche",33191000,325000.00,EUR,"Tecniplast France, TSA 30031, Décines-Charpieu Cedex, 69155, +33 472529441, contact@tecniplast.fr, +33 472170266, https://www.tecniplast.fr"
http://ted.europa.eu/udl?uri=TED:NOTICE:105123-2020:TEXT:FR:HTML,20200303,"Société des Trois Vallées, 42985266800038, Service marchés publics, 110 rue de la Croisette, Courchevel 1850, Courchevel, 73120, marchespublics@s3v.com, http://www.s3v.com/, http://www.s3v.com/marches-publics/, Transport par câbles",45262522,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:106331-2020:TEXT:SK:HTML,20200304,"NsP Sv. Jakuba, n.o., Bardejov, 36167908, Sv. Jakuba 21, Bardejov, 085 01, Ing. Martin Chachula, +421 415665268, chachula@eurodotacie.sk, http://www.nsp-bardejov.sk, http://www.uvo.gov.sk/vyhladavanie-profilov/detail/8300, § 7 ods. 1 písm. d) ZVO",33190000,400219.00,EUR,"Promos s.r.o., 34130730, Jantauscha 15, Vrbové, 922 03, Fénix Bratislava, spol. s r.o., 35730854, Hollého 1758, Vrbové, 922 03, Fénix Bratislava, spol. s r.o., 35730854, Hollého 1758, Vrbové, 922 03, Fénix Bratislava, spol. s r.o., 35730854, Hollého 1758, Vrbové, 922 03"
http://ted.europa.eu/udl?uri=TED:NOTICE:106339-2020:TEXT:SK:HTML,20200304,"Univerzitná nemocnica Bratislava, 31813861, Pažítková 4, Bratislava-mestská časť Ružinov, 821 01, Ing. Ján Mlynarčík, +421 248234088, jan.mlynarcik@unb.sk, http://www.unb.sk, https://www.uvo.gov.sk/private/profily/8698",33157400,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:108263-2020:TEXT:FR:HTML,20200305,"Communauté d'agglomeration de Vesoul, 6 rue de la Mutualité, BP 90445, Vesoul Cedex, 70007, +33 384971297, service.marches-publics@vesoul.fr, http://www.vesoul.fr, http://www.marches-securises.fr, Ville de Vesoul, 58 rue Paul Morel, Vesoul, 70000, service.marches-publics@vesoul.fr, http://www.vesoul.fr",18143000,82505,EUR,"Protect'Homs, 39014556300032, 12 rue Gutenberg — ZI Ouest Bazouges, Château Gontier, 53203, Protect'Homs, 39014556300032, 12 rue Gutenberg — ZI Ouest Bazouges, Château Gontier, 53203, Protect'Homs, 39014556300032, 12 rue Gutenberg — ZI Ouest Bazouges, Château Gontier, 53203, Aux travailleurs réunis, 30601394700032, 9 rue de la Houe, Quetigny, 21800, Aux travailleurs réunis, 30601394700032, 9 rue de la Houe, Quetigny, 21800"
http://ted.europa.eu/udl?uri=TED:NOTICE:108388-2020:TEXT:CS:HTML,20200305,"Fakultní nemocnice Olomouc, 00098892, I. P. Pavlova 185/6, Olomouc, 779 00, Ing. Pavel Dočkal, +420 588443138, zakazky@fnol.cz, +420 585413841, http://www.fnol.cz, http://www.egordion.cz/nabidkaGORDION/profil/fnol",33670000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:110587-2020:TEXT:IT:HTML,20200306,"Fondazione IRCCS policlinico San Matteo, Viale Golgi 19, Pavia, 27100, All'attenzione di: dott.ssa Olivia Piccinini, +39 0382503996, a.mallamace@smatteo.pv.it, +39 0382503990, www.sintel.regione.lombardia.it, www.sanmatteo.org",33157000,1963360.00,EUR,"Burke&Burke S.p.A., Via Albert Einstein 32, Assago (MI), 20090, Burke&Burke S.p.A., Via Albert Einstein 32, Assago (MI), 20090, Fisher&Paykel Healthcare S.A.S., Via Alfredo Baccarini 46, Roma (RM), 00179, Fisher&Paykel Healthcare Italia, Via Alfredo Baccarini 46, Roma (RM), 00179"
http://ted.europa.eu/udl?uri=TED:NOTICE:110592-2020:TEXT:PL:HTML,20200306,"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej Szpital w Iłży, 670902293, Bodzentyńska 17, Iłża, 27-100, Marzena Barwicka, eunijne@szpitalilza.com.pl, www.szpitalilza.com.pl",33600000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:110721-2020:TEXT:FR:HTML,20200306,"Commune de Gonesse, 21950268900454, 66 rue de Paris, Gonesse, 95503, marches-publics@mairie-gonesse.fr, http://ville-gonesse.fr, http://agysoft.marches-publics.info",18110000,170000,EUR,"Henri Bricout, 229 rue Saint-Martin, Paris, 75003, Henri Bricout, 229 rue Saint-Martin, Paris, 75003, GK Professional, 159 avenue Gallieni, Bagnolet, 93170, PLB, ZI avenue Jean Bonnefont, Issoudun, 36100"
http://ted.europa.eu/udl?uri=TED:NOTICE:110759-2020:TEXT:CS:HTML,20200306,"Nemocnice Na Bulovce, 00064211, Budinnova 67/2, Praha, 180 81, Bc. Martin Vackař, zakazky@bulovka.cz, http://www.bulovka.cz/, http://www.tenderarena.cz/profil/detail.jsf?identifikator=Bulovka",33694000,8190212.93,CZK,"Roche, s.r.o., 49617052, Sokolovská 685/136f, Praha, 186 00"
http://ted.europa.eu/udl?uri=TED:NOTICE:110776-2020:TEXT:CS:HTML,20200306,"Středomoravská nemocniční, a.s., 27797660, Mathonova 291/1, Prostějov, 796 04, Ing. Tibor Ďurík, tibor.durik@agel.cz, https://stredomoravskanemocnicni.agel.cz/index.html, https://www.tenderarena.cz/profily/SMN_zadavatel, § 4 odst. 2 zákona č. 134/2016 Sb. (dotovaný zadavatel)",33191100,1220000.00,CZK,"Getinge Czech Republic, s.r.o., 03053601, Na Strži 1702/65, Praha 4, 140 00, https://www.getinge.com/int/"
http://ted.europa.eu/udl?uri=TED:NOTICE:110790-2020:TEXT:PL:HTML,20200306,"Samodzielny Zespół Publicznych Zakładów Lecznictwa Otwartego Warszawa Praga-Północ, 1131960020, ul. Jagiellońska 34, Warszawa, 03-917, Janusz Kaszuba, +48 660861003, przetargi_szpzlo@wp.pl, www.szpzlo.pl, podmiot leczniczy",33111000,2241383.42,PLN,"Creator-Comm Sp. z o.o., 5262640795, ul. Dolna 30a/5, Warszawa, 00-774, MES Spółka z ograniczoną odpowiedzialnością, 6770004379, Skawina, 32-050, MDS Cardio Sp z o.o., 9512102903, Warszawa, 02-858, Action S.A w restrukturyzacji, 0000214038, Piaseczno, Zamienie, 05-500, +48 734435089, biuro@actionmed.pl, +48 223339066"
http://ted.europa.eu/udl?uri=TED:NOTICE:110808-2020:TEXT:SV:HTML,20200306,"Västra Götalandsregionen, 232100-0131, 462 80, Vänersborg, 462 80, Jacqueline Siegenthaler, +7 00206418, jacqueline.siegnethaler@vgregion.se, http://www.vgregion.se",33157500,9320000.00,EUR,"HAUX-LIFE-SUPPORT GmbH, 360641, Auf der Hub 11-15, Karlsbad, 76307, meyer@hauxlifesupport.de"
http://ted.europa.eu/udl?uri=TED:NOTICE:110849-2020:TEXT:CS:HTML,20200306,"Centrální zdravotnická zadavatelská, s.r.o., 28181662, Pospíšilova 365/9, Hradec Králové, 500 03, Pavel Štěpán, Centrum evropského projektování, a.s., stepan@cep-rra.cz, http://www.czz-khk.cz, https://zakazky.cenakhk.cz/profile_display_3517.html, Společnost s ručením omezeným, kterou z 99 % vlastní Zdravotnický holding Královéhradeckého kraje, a.s.",33694000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:112482-2020:TEXT:DE:HTML,20200306,"Kantonsspital Winterthur, Brauerstrasse 15, Winterthur, 8401, Thorsten van Almsick, thorsten.vanalmsick@ksw.ch, https://www.simap.ch",33157400,320499.90,CHF,"Dräger Schweiz AG, Waldeggstrasse 30, Liebefeld, 3097"
http://ted.europa.eu/udl?uri=TED:NOTICE:113275-2020:TEXT:EN:HTML,20200309,"An Garda Síochána, N/A, Finance and Procurement, Phoenix Park, Garda Headquarters, Dublin 8, Ann Clarke, +353 16662144, ann.p.clarke@garda.ie, http://www.garda.ie, https://irl.eu-supply.com/ctm/Company/CompanyInformation/Index/1192",35000000,560768.00,EUR,"James Boylan Safety Ltd t/a JBS Group, 314314, Milltown Business Park, Milltown, Monaghan, +353 4776500, declan.odonnell@jbsgroup.ie, +353 4776501, http://www.jbsgroup.ie, Derby Unitex Ltd, 110606174, Unit 31-32 Derwent Business Centre, Derby, DE1 2BU, sales@derbyunitex.co.uk"
http://ted.europa.eu/udl?uri=TED:NOTICE:115689-2020:TEXT:BG:HTML,20200310,"„УМБАЛ „Света Анна“ — София“ АД, 130367715, ж.к. „Младост 1“, ул. „Димитър Моллов“ № 1, София, 1750, Боян Авджийски/Диана Бенгарска, +359 29759011, otdel.opd@abv.bg, +359 29759011, http://www.sveta-anna.eu/, http://www.sveta-anna.eu/bg/Profil-na-kupuvacha_p35.html",33694000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:115702-2020:TEXT:BG:HTML,20200310,"Министерство на здравеопазването, 000695317, пл. „Света Неделя“ № 5, София, 1000, Биляна Къшева, +359 29301466, bkasheva@mh.government.bg, +359 29301451, https://www.mh.government.bg/bg/, https://www.mh.government.bg/bg/profil-na-kupuvacha/",33694000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:115764-2020:TEXT:IT:HTML,20200310,"Istituto mediterraneo per i trapianti e terapie ad alta specializzazione, 7565653, Via Discesa Dei Giudici 4, Palermo, 90133, Sede amministrativa di ISMETT presso Discesa dei Giudici 4 — 90133 Palermo, +49 0912192947, scataldo@ismett.edu, +49 0912192582, http://www.ismett.edu",35113400,432447.80,EUR,"Clinilab S.r.l., Conselve, La Casalinda S.r.l., Tarantasca, Mediberg S.r.l., Calcinate, Nasta & C. Carta e Imballaggi S.p.A., Palermo, La Casalinda S.r.l., Tarantasca"
http://ted.europa.eu/udl?uri=TED:NOTICE:115781-2020:TEXT:CS:HTML,20200310,"Centrální nákup, příspěvková organizace, 72046635, Vejprnická 663/56, Plzeň, 318 00, Mgr. Renata Janoušková, +420 377224260, renata.janouskova@cnpk.cz, http://www.cnpk.cz/, https://ezak.cnpk.cz/profile_display_3.html",33694000,54352946.60,CZK,"Roche, s.r.o., 49617052, Sokolovská 685/136f, Praha 8, 186 00, +420 220382138, prague.info@roche.com, https://www.roche.cz"
http://ted.europa.eu/udl?uri=TED:NOTICE:115802-2020:TEXT:RO:HTML,20200310,"Direcția Generală de Asistență Socială și Protecția Copilului Sector 2, 17093691, Str. Olari nr. 15, Bucureşti, 024056, Mihaela Modroi, +40 213110029, licitatii@social2.ro, +40 213110029, www.social2.ro, www.e-licitatie.ro",24455000,272675.23,RON,"Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, GB Indco S.R.L., RO 10421821, Str. Dimitrie Cantemir nr. 9, sector 4, București, 040233, +40 213361212, contact@gbindco.ro, +40 213363887, www.gbindco.ro, GB Indco S.R.L., RO 10421821, Str. Dimitrie Cantemir nr. 9, sector 4, București, 040233, +40 213361212, contact@gbindco.ro, +40 213363887, www.gbindco.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, GB Indco S.R.L., RO 10421821, Str. Dimitrie Cantemir nr. 9, sector 4, București, 040233, +40 213361212, contact@gbindco.ro, +40 213363887, www.gbindco.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro, Dumitru Business House Impex S.R.L., RO 5988596, Str. Caloian Judeţu nr. 2, sector 3, București, 031112, +40 722588563, office@dbh.ro, +40 213275227, www.e-licitatie.ro"
http://ted.europa.eu/udl?uri=TED:NOTICE:115806-2020:TEXT:CS:HTML,20200310,"Centrální nákup, příspěvková organizace, 72046635, Vejprnická 663/56, Plzeň, 318 00, Mgr. Renata Janoušková, +420 377224260, renata.janouskova@cnpk.cz, http://www.cnpk.cz/, https://ezak.cnpk.cz/profile_display_3.html",33694000,54352946.60,CZK,"DiaSorin Czech, s.r.o., 28497481, k Hájům 2606/2b, Praha 5, 155 00, +420 235311904, objednavky_diasorin@diasorin.cz, https://www.diasorin.com, DiaSorin Czech, s.r.o., 28497481, K Hájům 2606/2b, Praha 5, 155 00, +420 235311904, objednavky_diasorin@diasorin.cz, https://www.diasorin.com"
http://ted.europa.eu/udl?uri=TED:NOTICE:115820-2020:TEXT:FR:HTML,20200310,"Conseil départemental 13, 52 avenue de St-Just, Marseille, 13256, contact.sampcs@departement13.fr, https://www.departement13.fr",33000000,1120000,EUR,"Labelians, 1 rue des Palis, Nemours, 77140, https://labelians.fr, France Neir, 14 chemin des Margueritois, Faches-Thumesnil, 59155, http://www.franceneir.com, France Neir, 14 chemin des Margueritois, Faches-Thumesnil, 59155, http://www.franceneir.com, Labelians, 1 rue des Patis, Nemours, 77140, https://labelians.fr"
http://ted.europa.eu/udl?uri=TED:NOTICE:115832-2020:TEXT:SK:HTML,20200310,"Fakultná nemocnica s poliklinikou J. A. Reimana v Prešove, 00610577, Hollého 14, Prešov, 081 81, Ing.Beáta Platková, +421 517011810, harcarova@fnsppresov.sk, +421 517722247, http://www.fnsppresov.sk, http://www.uvo.gov.sk/vyhladavanie-profilov/zakazky/1369",33152000,159358.00,EUR,"Dartin Slovensko, spol. s r.o., 31676936, Ľ. Podjavorinskej 25, Prešov, 080 05, +421 517734403, info@dartin.sk"
http://ted.europa.eu/udl?uri=TED:NOTICE:115860-2020:TEXT:ES:HTML,20200310,"Junta de Gobierno de la Diputación Provincial de Córdoba, P14000000, Plaza de Colón, 15, Córdoba, 14071, Junta de Gobierno de la Diputación Provincial de Córdoba, +34 957212900, contratacion@dipucordoba.es, +34 957211188, http://aplicaciones.dipucordoba.es/contratacion/, https://contrataciondelestado.es/wps/poc?uri=deeplink:perfilContratante&idBp=UWElm2LZtRUQK2TEfXGy%2BA%3D%3D",18000000,160589.86,EUR,"Profesionales de la Seguridad en el Trabajo, S. L. U., B14604227, PI Dehesa Boyal, naves 4 y 5, Pozoblanco, 14400, Profesionales de la Seguridad en el Trabajo, S. L. U., B14604227, PI Dehesa Boyal, naves 4 y 5, Pozoblanco, 14400, Profesionales de la Seguridad en el Trabajo, S. L. U., B14604227, PI Dehesa Boyal, naves 4 y 5, Pozoblanco, 14400"
http://ted.europa.eu/udl?uri=TED:NOTICE:118327-2020:TEXT:ES:HTML,20200311,"Servicio Navarro de Salud-Osasunbidea, Q3150004D, C/ Tudela, 20, Pamplona (Navarra), 31003, Servicio de Aprovisionamiento y Servicios Generales, +34 848428843, seraprov@navarra.es, http://www.contrataciones.navarra.es",18424300,543921.68,EUR,"Medline International Iberia, S. L. U., B86030723, San Fernando de Henares"
http://ted.europa.eu/udl?uri=TED:NOTICE:118343-2020:TEXT:LV:HTML,20200311,"SIA “Kuldīgas slimnīca”, 50003197651, Aizputes iela 22, Kuldīga, LV-3301, Marta Rušmane, +371 63374006, marta.rusmane@kuldiga.lv, +371 63374028, http://www.kuldigasslimnica.lv, https://www.eis.gov.lv/EKEIS/Supplier/Organizer/358",33195000,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:118379-2020:TEXT:SK:HTML,20200311,"Ministerstvo vnútra Slovenskej republiky, 00151866, Pribinova 2, Bratislava-Staré Mesto, 812 72, Ing. Vladimír Jakúbek, +421 250944579, vladimir.jakubek2@minv.sk, +421 250944046, http://www.minv.sk, http://www.uvo.gov.sk/profily/-/profil/pdetail/239",35113400,472491.00,EUR,"Judex Corp., s.r.o., 35844817, Zelená 2, Bratislava, 811 01, judex@judexcorporation.sk, Tech Moto s.r.o., 50601113, Ivanská cesta 15, Bratislava-mestská časť Ružinov, 821 04, juraj.gajdar@bmwba.sk"
,,,,,,
http://ted.europa.eu/udl?uri=TED:NOTICE:120653-2020:TEXT:FR:HTML,20200312,"CPAM du Rhône, 276 cours Emile Zola, Villeurbanne Cedex, 69619, Groupe marchés bureau D101s, du lundi au vendredi de 9 heures à 11 h 30 et de 14 heures à 16 h 30, +33 426107298, agnes.badolle@assurance-maladie.fr, +33 426107294, http://www.ameli.fr, https://www.achatpublic.com/sdm/ent/gen/index.jsp, Organisme de sécurité sociale",33190000,489509,EUR,"W & H France, 4 rue Ettore Bugatti, Strasbourg Cedex 2, 67038, https://www.wh.com/fr_france/, Icadent, rue Jules Vedrine, Andrézieux-Bouthéon, 42160, http://Icadent.fr/, Icadent, rue Jules Vedrine, Andrézieux-Bouthéon, 42160, http://Icadent.fr/, Icadent, rue Jules Vedrine, Andrézieux-Bouthéon, 42160, http://Icadent.fr/, Sorhodes, Parc d'activités des Platières, 420 rue de la Maison Rose, Mornant, 69440, http://www.sorhodes.com/"
